date,year,tempmax_C,tempmin_C,precip_24hrmm,precip_cum_mm,precip_%snow,precip_%rain,snowhn24_cm,snowtotal_cm,HS_cm,SWE_cm,SWE_mm
2014-10-01 09:00:00,2014,16,3,0,0,,,0,0.0,0,0.0,0.0
2014-10-02 09:00:00,2014,22,1,0,0,,,0,0.0,0,0.0,0.0
2014-10-03 09:00:00,2014,24,5,0,0,,,0,0.0,0,0.0,0.0
2014-10-04 09:00:00,2014,26,5,0,0,,,0,0.0,0,0.0,0.0
2014-10-05 09:00:00,2014,25,8,0,0,,,0,0.0,0,0.0,0.0
2014-10-06 09:00:00,2014,25,6,0,0,,,0,0.0,0,0.0,0.0
2014-10-07 09:00:00,2014,23,6,0,0,,,0,0.0,0,0.0,0.0
2014-10-08 09:00:00,2014,20,3,0,0,,,0,0.0,0,0.0,0.0
2014-10-09 09:00:00,2014,19,2,0,0,,,0,0.0,0,0.0,0.0
2014-10-10 09:00:00,2014,20,2,0,0,,,0,0.0,0,0.0,0.0
2014-10-11 09:00:00,2014,21,4,0,0,,,0,0.0,0,0.0,0.0
2014-10-12 09:00:00,2014,18,5,0,0,,,0,0.0,0,0.0,0.0
2014-10-13 09:00:00,2014,23,4,0,0,,,0,0.0,0,0.0,0.0
2014-10-14 09:00:00,2014,17,6,0,0,,,0,0.0,0,0.0,0.0
2014-10-15 09:00:00,2014,6,3,18,18,,100.0,0,0.0,0,0.0,0.0
2014-10-16 09:00:00,2014,13,2,0,18,,,0,0.0,0,0.0,0.0
2014-10-17 09:00:00,2014,12,0,0,18,,,0,0.0,0,0.0,0.0
2014-10-18 09:00:00,2014,17,-2,0,18,,,0,0.0,0,0.0,0.0
2014-10-19 09:00:00,2014,16,0,0,18,,,0,0.0,0,0.0,0.0
2014-10-20 09:00:00,2014,12,0,8,26,,100.0,0,0.0,0,0.0,0.0
2014-10-21 09:00:00,2014,11,-2,0,26,,,0,0.0,0,0.0,0.0
2014-10-22 09:00:00,2014,14,-1,0,26,,,0,0.0,0,0.0,0.0
2014-10-23 09:00:00,2014,12,4,0,26,,,0,0.0,0,0.0,0.0
2014-10-24 09:00:00,2014,17,3,0,26,,,0,0.0,0,0.0,0.0
2014-10-25 09:00:00,2014,8,0,20,46,20.0,80.0,0,0.0,0,0.0,0.0
2014-10-26 09:00:00,2014,9,-1,1,47,,100.0,3,3.0,3,,
2014-10-27 09:00:00,2014,12,-2,0,47,,,0,3.0,0,0.0,0.0
2014-10-28 09:00:00,2014,16,-1,0,47,,,0,3.0,0,0.0,0.0
2014-10-29 09:00:00,2014,18,1,0,47,,,0,3.0,0,0.0,0.0
2014-10-30 09:00:00,2014,17,1,0,47,,,0,3.0,0,0.0,0.0
2014-10-31 09:00:00,2014,8,0,8,55,10.0,90.0,0,3.0,0,0.0,0.0
2014-11-01 09:00:00,2014,0,-4,13,68,99.0,1.0,15.5,18.5,15.5,1.5,15.0
2014-11-02 09:00:00,2014,5,-6,3,71,100.0,,T,18.5,12,,
2014-11-03 09:00:00,2014,9,-5,0,71,,,0,18.5,8,1.2,12.0
2014-11-04 09:00:00,2014,14,-3,0,71,,,0,18.5,3,0.4,4.0
2014-11-05 09:00:00,2014,15,1,0,71,,,0,18.5,0,0.0,0.0
2014-11-06 09:00:00,2014,15,3,0,71,,,0,18.5,0,0.0,0.0
2014-11-07 09:00:00,2014,17,1,0,71,,,0,18.5,0,0.0,0.0
2014-11-08 09:00:00,2014,20,3,0,71,,,0,18.5,0,0.0,0.0
2014-11-09 09:00:00,2014,17,2,0,71,,,0,18.5,0,0.0,0.0
2014-11-10 09:00:00,2014,16,0,0,71,,,0,18.5,0,0.0,0.0
2014-11-11 09:00:00,2014,11,0,0,71,,,0,18.5,0,0.0,0.0
2014-11-12 09:00:00,2014,11,-3,0,71,,,0,18.5,0,0.0,0.0
2014-11-13 09:00:00,2014,6,1,17,88,,100.0,0,18.5,0,0.0,0.0
2014-11-14 09:00:00,2014,7,-2,0,88,,,0,18.5,0,0.0,0.0
2014-11-15 09:00:00,2014,5,-5,T,88,,100.0,0,18.5,0,0.0,0.0
2014-11-16 09:00:00,2014,6,-7,0,88,,,0,18.5,0,0.0,0.0
2014-11-17 09:00:00,2014,12,-5,0,88,,,0,18.5,0,0.0,0.0
2014-11-18 09:00:00,2014,10,-4,0,88,,,0,18.5,0,0.0,0.0
2014-11-19 09:00:00,2014,6,0,5,93,,100.0,0,18.5,0,0.0,0.0
2014-11-20 09:00:00,2014,3,-1,8,101,95.0,5.0,0,18.5,0,0.0,0.0
2014-11-21 09:00:00,2014,6,-5,4,105,,100.0,9,27.5,9,0.8,8.0
2014-11-22 09:00:00,2014,5,-3,30,135,,100.0,0,27.5,4,,
2014-11-23 09:00:00,2014,5,-4,0,135,,,0,27.5,0,0.0,0.0
2014-11-24 09:00:00,2014,4,-5,0,135,,,0,27.5,0,0.0,0.0
2014-11-25 09:00:00,2014,15,-3,0,135,,,0,27.5,0,0.0,0.0
2014-11-26 09:00:00,2014,17,-1,0,135,,,0,27.5,0,0.0,0.0
2014-11-27 09:00:00,2014,14,2,0,135,,,0,27.5,0,0.0,0.0
2014-11-28 09:00:00,2014,10,-2,7,142,100.0,,0,27.5,0,0.0,0.0
2014-11-29 09:00:00,2014,2,-2,49,191,90.0,10.0,22,49.5,22,5.5,55.0
2014-11-30 09:00:00,2014,2,-1,21,212,50.0,50.0,8,57.5,28.5,5.8,58.0
2014-12-01 09:00:00,2014,5,-2,11,223,2.0,99.0,T,57.5,25.5,5.6,56.0
2014-12-02 09:00:00,2014,4,-2,37,260,20.0,80.0,T,57.5,24,5.8,58.0
2014-12-03 09:00:00,2014,3,0,59,319,10.0,90.0,5.5,63.0,28,7.3,73.0
2014-12-04 09:00:00,2014,4,0,20,339,,100.0,0,63.0,25.5,7.9,79.0
2014-12-05 09:00:00,2014,5,2,12,351,,100.0,0,63.0,24,7.2,72.0
2014-12-06 09:00:00,2014,5,-1,15,366,,100.0,0,63.0,22,,
2014-12-07 09:00:00,2014,9,-2,0,366,,,0,63.0,20.5,,
2014-12-08 09:00:00,2014,9,-2,0,366,,,0,63.0,19,5.7,57.0
2014-12-09 09:00:00,2014,6,-1,0,366,,,0,63.0,18.5,,
2014-12-10 09:00:00,2014,9,-2,0,366,,,0,63.0,17.5,5.2,52.0
2014-12-11 09:00:00,2014,7,0,48,414,90.0,10.0,0,63.0,17.5,5.2,52.0
2014-12-12 09:00:00,2014,1,-4,15,429,100.0,,43,106.0,58,11.4,114.0
2014-12-13 09:00:00,2014,6,-9,0,429,,,6.5,112.5,62,,
2014-12-14 09:00:00,2014,5,-10,1,430,100.0,,0,112.5,57.5,,
2014-12-15 09:00:00,2014,-1,-5,15,445,100.0,,4.5,117.0,61,13.0,130.0
2014-12-16 09:00:00,2014,1,-3,4,449,100.0,,15,132.0,73,,
2014-12-17 09:00:00,2014,0,-3,8,457,98.0,2.0,15,147.0,68,14.1,141.0
2014-12-18 09:00:00,2014,4,-3,T,457,100.0,,5,152.0,66.5,,
2014-12-19 09:00:00,2014,0,-2,23,480,98.0,2.0,T,152.0,62,14.2,142.0
2014-12-20 09:00:00,2014,1,-1,10,490,,100.0,20,172.0,79,,
2014-12-21 09:00:00,2014,5,-1,6,496,,100.0,0,172.0,73.5,,
2014-12-22 09:00:00,2014,11,-2,0,496,,,0,172.0,70,17.1,171.0
2014-12-23 09:00:00,2014,16,-2,0,496,,,0,172.0,68,16.8,168.0
2014-12-24 09:00:00,2014,4,-7,15,511,100.0,,0,172.0,66.5,16.5,165.0
2014-12-25 09:00:00,2014,-5,-7,0,511,,,5.5,177.5,71.5,,
2014-12-26 09:00:00,2014,-3,-9,0,511,,,0,177.5,70,,
2014-12-27 09:00:00,2014,6,-9,0,511,,,0,177.5,69,15.9,159.0
2014-12-28 09:00:00,2014,4,-7,0,511,,,0,177.5,67.5,15.9,159.0
2014-12-29 09:00:00,2014,1,-8,0,511,,,0,177.5,66.5,15.8,158.0
2014-12-30 09:00:00,2014,-7,-12,2,513,100.0,,T,177.5,65.5,,
2014-12-31 09:00:00,2014,-3,-13,0,513,,,2,179.5,66.5,,
2015-01-01 09:00:00,2015,4,-9,0,513,,,0,179.5,64,17.2,172.0
2015-01-02 09:00:00,2015,8,-8,0,513,,,0,179.5,64,17.1,171.0
2015-01-03 09:00:00,2015,11,-4,0,513,,,0,179.5,64,,
2015-01-04 09:00:00,2015,9,-3,0,513,,,0,179.5,63,,
2015-01-05 09:00:00,2015,14,-3,0,513,,,0,179.5,61.5,17.6,176.0
2015-01-06 09:00:00,2015,18,0,0,513,,,0,179.5,60,17.6,176.0
2015-01-07 09:00:00,2015,16,-2,0,513,,,0,179.5,58.5,17.6,176.0
2015-01-08 09:00:00,2015,14,-3,0,513,,,0,179.5,57.5,,
2015-01-09 09:00:00,2015,11,-2,0,513,,,0,179.5,56,17.4,174.0
2015-01-10 09:00:00,2015,10,0,0,513,,,0,179.5,55,,
2015-01-11 09:00:00,2015,9,-1,0,513,,,0,179.5,54,,
2015-01-12 09:00:00,2015,7,-3,T,513,100.0,,0,179.5,53,17.3,173.0
2015-01-13 09:00:00,2015,4,-4,0,513,,,0,179.5,52.5,,
2015-01-14 09:00:00,2015,3,-8,0,513,,,0,179.5,51.5,17.3,173.0
2015-01-15 09:00:00,2015,2,-5,0,513,,,0,179.5,51,,
2015-01-16 09:00:00,2015,4,0,5,518,10.0,90.0,T,179.5,49.5,17.2,172.0
2015-01-17 09:00:00,2015,10,3,0,518,,,0,179.5,48,,
2015-01-18 09:00:00,2015,10,3,0,518,,,0,179.5,47,,
2015-01-19 09:00:00,2015,11,0,0,518,,,0,179.5,45.5,,
2015-01-20 09:00:00,2015,9,-2,0,518,,,0,179.5,44,16.8,168.0
2015-01-21 09:00:00,2015,8,-5,0,518,,,0,179.5,42.5,,
2015-01-22 09:00:00,2015,8,-5,0,518,,,0,179.5,41.5,16.1,161.0
2015-01-23 09:00:00,2015,8,-2,0,518,,,0,179.5,40,15.6,156.0
2015-01-24 09:00:00,2015,12,0,0,518,,,0,179.5,39.5,,
2015-01-25 09:00:00,2015,17,2,0,518,,,0,179.5,37.5,,
2015-01-26 09:00:00,2015,7,1,0,518,,,0,179.5,36.5,14.1,141.0
2015-01-27 09:00:00,2015,4,-3,4,522,100.0,,1.5,181.0,35,14.1,141.0
2015-01-28 09:00:00,2015,9,-4,0,522,,,2,183.0,34,,
2015-01-29 09:00:00,2015,5,1,0,522,,,0,183.0,32.5,12.6,126.0
2015-01-30 09:00:00,2015,8,-1,0,522,,,0,183.0,31.5,12.4,124.0
2015-01-31 09:00:00,2015,11,-2,0,522,,,0,183.0,30,,
2015-02-01 09:00:00,2015,15,-3,0,522,,,0,183.0,28.5,,
2015-02-02 09:00:00,2015,8,-1,1,523,,100.0,0,183.0,27.5,11.4,114.0
2015-02-03 09:00:00,2015,11,0,0,523,,,0,183.0,26,,
2015-02-04 09:00:00,2015,12,-1,0,523,,,0,183.0,24,10.3,103.0
2015-02-05 09:00:00,2015,11,5,0,523,,,0,183.0,23,,
2015-02-06 09:00:00,2015,8,-1,65,588,90.0,10.0,0,183.0,21.5,9.3,93.0
2015-02-07 09:00:00,2015,6,0,34,622,25.0,75.0,16,199.0,37.5,,
2015-02-08 09:00:00,2015,5,0,60,682,5.0,95.0,0.5,199.5,35.5,,
2015-02-09 09:00:00,2015,1,-5,24,706,98.0,2.0,9,208.5,43,17.1,171.0
2015-02-10 09:00:00,2015,7,-7,0,706,,,5,213.5,45,,
2015-02-11 09:00:00,2015,17,-3,0,706,,,0,213.5,44,17.8,178.0
2015-02-12 09:00:00,2015,20,-1,0,706,,,0,213.5,41.5,,
2015-02-13 09:00:00,2015,17,1,0,706,,,0,213.5,39.5,17.2,172.0
2015-02-14 09:00:00,2015,15,-1,0,706,,,0,213.5,37,,
2015-02-15 09:00:00,2015,12,-1,0,706,,,0,213.5,34.5,,
2015-02-16 09:00:00,2015,15,-2,0,706,,,0,213.5,32.5,15.3,153.0
2015-02-17 09:00:00,2015,16,-1,0,706,,,0,213.5,30,,
2015-02-18 09:00:00,2015,16,-1,0,706,,,0,213.5,27.5,14.1,141.0
2015-02-19 09:00:00,2015,16,-1,0,706,,,0,213.5,25,,
2015-02-20 09:00:00,2015,14,-2,0,706,,,0,213.5,23,12.9,129.0
2015-02-21 09:00:00,2015,12,-2,0,706,,,0,213.5,20.5,,
2015-02-22 09:00:00,2015,1,-7,T,706,100.0,,T,213.5,20,,
2015-02-23 09:00:00,2015,0,-9,0,706,,,0,213.5,20,10.4,104.0
2015-02-24 09:00:00,2015,13,-5,0,706,,,0,213.5,20,,
2015-02-25 09:00:00,2015,12,-4,0,706,,,0,213.5,19,7.9,79.0
2015-02-26 09:00:00,2015,9,-3,0,706,,,0,213.5,15.5,,
2015-02-27 09:00:00,2015,3,-3,15,721,100.0,,0,213.5,14.5,6.0,60.0
2015-02-28 09:00:00,2015,1,-4,20,741,100.0,,25,238.5,36,,
2015-03-01 09:00:00,2015,2,-7,1,742,100.0,,2.5,241.0,34,,
2015-03-02 09:00:00,2015,3,-8,3,745,100.0,,T,241.0,31.5,9.4,94.0
2015-03-03 09:00:00,2015,4,-9,0,745,,,0.5,241.5,30.5,,
2015-03-04 09:00:00,2015,9,-7,0,745,,,0,241.5,29.5,10.0,100.0
2015-03-05 09:00:00,2015,12,-7,0,745,,,0,241.5,28,9.6,96.0
2015-03-06 09:00:00,2015,14,-4,0,745,,,0,241.5,25.5,8.9,89.0
2015-03-07 09:00:00,2015,17,-2,0,745,,,0,241.5,23,,
2015-03-08 09:00:00,2015,16,-4,0,745,,,0,241.5,19.5,,
2015-03-09 09:00:00,2015,16,0,0,745,,,0,241.5,16,6.4,64.0
2015-03-10 09:00:00,2015,14,-2,0,745,,,0,241.5,12,4.8,48.0
2015-03-11 09:00:00,2015,6,0,11,756,1.0,99.0,0,241.5,5,,
2015-03-12 09:00:00,2015,11,-1,0,756,,,0,241.5,2,,
2015-03-13 09:00:00,2015,16,0,0,756,,,0,241.5,0,0.0,0.0
2015-03-14 09:00:00,2015,16,2,0,756,,,0,241.5,0,0.0,0.0
2015-03-15 09:00:00,2015,14,1,0,756,,,0,241.5,0,0.0,0.0
2015-03-16 09:00:00,2015,13,1,0,756,,,0,241.5,0,0.0,0.0
2015-03-17 09:00:00,2015,10,-2,1,757,,100.0,0,241.5,0,0.0,0.0
2015-03-18 09:00:00,2015,14,-2,0,757,,,0,241.5,0,0.0,0.0
2015-03-19 09:00:00,2015,17,-2,0,757,,,0,241.5,0,0.0,0.0
2015-03-20 09:00:00,2015,14,-1,0,757,,,0,241.5,0,0.0,0.0
2015-03-21 09:00:00,2015,10,-2,0,757,,,0,241.5,0,0.0,0.0
2015-03-22 09:00:00,2015,9,-1,6,763,5.0,95.0,0,241.5,0,0.0,0.0
2015-03-23 09:00:00,2015,2,-3,11,774,100.0,,10,251.5,10,1.4,14.0
2015-03-24 09:00:00,2015,3,-2,3,777,,100.0,T,251.5,7,1.2,12.0
2015-03-25 09:00:00,2015,14,-1,0,777,,,0,251.5,1,,
2015-03-26 09:00:00,2015,18,3,0,777,,,0,251.5,0,0.0,0.0
2015-03-27 09:00:00,2015,17,0,0,777,,,0,251.5,0,0.0,0.0
2015-03-28 09:00:00,2015,17,0,0,777,,,0,251.5,0,0.0,0.0
2015-03-29 09:00:00,2015,19,1,0,777,,,0,251.5,0,0.0,0.0
2015-03-30 09:00:00,2015,18,1,0,777,,,0,251.5,0,0.0,0.0
2015-03-31 09:00:00,2015,10,-3,0,777,,,0,251.5,0,0.0,0.0
